Tipo,Marca,Nombre,Referencia,Categoria,Descripcion,Precio total,Imagenes
Producto,Bulldog,Bulldog - Picador (4 partes) Silver,,PARAFERNALIA,STOCKA,4199.99,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510336/Smonkey/products/BULLDOG_PICADOR_METAL_4P_SILVER_kxrppy.png
Producto,Pipa,Pipe - Glass (vidrio),GP431,PARAFERNALIA,STOCKA,4400,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510330/Smonkey/products/PIPA_DE_VIDRIO_GLASS_PIPE2_ojpzky.png
Producto,Hash,Hash Maker - 150micras.,,HERRAMIENTAS,STOCKA,4420,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510340/Smonkey/products/HASH_MAKER_CHICO_150_zavacb.png
Producto,Hash,Hash Maker - 90micras.,,HERRAMIENTAS,STOCKA,4420,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510339/Smonkey/products/HASH_MAKER_CHICO_90_eq7s14.png
Producto,Pipa,MINI BONG - Varios,,PARAFERNALIA,STOCKA,3500,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510325/Smonkey/products/MINI_BONG_CLEAR_VARIOS1_gvkthx.png
Producto,Lion Circus,Lion Rolling Circus - Grinder (3 partes),,PARAFERNALIA,STOCKA,2000,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510274/Smonkey/products/IMG_6493_dfwsmx.heic
Producto,Clipper,Cerium - Clipper Ash,,PARAFERNALIA,STOCKA,350,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510329/Smonkey/products/PIEDRA_CLIPPER_CERIUM_nynhaa.png
Producto,Pipa,Pipe - Glass (vidrio),,PARAFERNALIA,STOCKA,1500,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510331/Smonkey/products/PIPA_W_DE_VIDRIO_aqurin.png
Producto,Sauver,Sauver - (cuadrado),,PARAFERNALIA,STOCKA,200,
Producto,Sauver,Sauver - Traingular (Chico),,PARAFERNALIA,STOCKA,200,
Producto,Rosing,Rosing recipent ,,PARAFERNALIA,STOCKA,1500,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510336/Smonkey/products/CAZOLETA_SILICONA_REDONDA_QUEMADOR_VIDRIO_SILICONA_x9gj8s.png
Producto,Blunt Rey,Blunt Rey - Cenicero Portatil,,PARAFERNALIA,STOCKA,749.99,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510337/Smonkey/products/CENICERO_METAL_qzocfh.png
Producto,420,"420 - Picador (4 partes, tornasolado)",,PARAFERNALIA,STOCKA,3000,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510326/Smonkey/products/PICA_TORNASOLADO_4P_nksmvk.png
Producto,Picador,PICADOR ECONOMICO GRANDE,,PARAFERNALIA,STOCKA,950,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510328/Smonkey/products/PICADOR_ECONOMICO_GRANDE_qvddsk.png
Producto,Picador,PICADOR ECONOMICO CHICO,,PARAFERNALIA,STOCKA,700,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510327/Smonkey/products/PICADOR_ECONOMICO_CHICO_yb08ui.png
Producto,Lion Circus,LION PICADOR DE ALUMINIO 2 PARTES AMSTERDAN,,PARAFERNALIA,STOCKA,3000,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510341/Smonkey/products/LION_PICADOR_DE_ALUMINIO_2_PARTES_AMSTERDAN_stn0yc.png
Producto,Lion Circus,LION PICADOR DE ALUMINIO 3 PARTES AMSTERDAN,,PARAFERNALIA,STOCKA,3500,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510341/Smonkey/products/LION_PICADOR_DE_ALUMINIO_3_PARTES_AMSTERDAN_ti9dep.png
Producto,Gizeh,PICADOR GIZEH METAL 50MM,,PARAFERNALIA,STOCKA,4500,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510326/Smonkey/products/PICADOR_GIZEH_METAL_50MM_wnydzo.png
Producto,DW,PIPA CON PICADOR METAL,,PARAFERNALIA,STOCKA,3000,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510329/Smonkey/products/PIPA_CON_PICADOR_METAL_ofywdk.png
Producto,Lion Circus,MAQUINA PARA ARMAR LION REGULAR,,PARAFERNALIA,STOCKA,1500,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510333/Smonkey/products/ARMADOR_RAW_ubz5aq.png
Producto,Raw,MAQUINA PARA ARMAR RAW 70MM,,PARAFERNALIA,STOCKA,1900,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510342/Smonkey/products/LYON_SILVER_KS_110_MM_wzeka3.png
Producto,420,PICADOR 420 ARCOIRIS GRANDE 60MM,,PARAFERNALIA,STOCKA,9000,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510280/Smonkey/products/IMG_6502_qovps7.heic
Producto,DW,PIPA W DE VIDRIO,,PARAFERNALIA,STOCKA,1500,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510288/Smonkey/products/IMG_6517_o48me5.heic
Producto,4Hemp,SEDA CELULOSA 4HEMP,,PARAFERNALIA,STOCKA,350,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510337/Smonkey/products/CELULOSA_4HELP_kz4skd.png
Producto,Blunt Rey,CIPLOCK,,PARAFERNALIA,STOCKA,200,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510337/Smonkey/products/CIPLOCK_rclkke.png
Producto,Lion Circus,LION ROLLING CIRCUS PRE-ROLED HEM GOLD 24K,,PARAFERNALIA,STOCKA,7000,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510341/Smonkey/products/LION_ORO_xx0wrl.png
Producto,Lion Circus,LION HEMP WRA BLUNT,,PARAFERNALIA,STOCKA,800,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510342/Smonkey/products/LION_HEMP_WRA_BLUNT_zcn4bz.png
Producto,Pipa,PIPA DE ALUMINIO LLAVERO,,PARAFERNALIA,STOCKA,900,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510328/Smonkey/products/PIPA_DE_ALUMINIO_LLAVERO_grvdjz.png
Producto,OCB,SEDAS OCB X-PERT GRIS 1 1/4,,PARAFERNALIA,STOCKA,250,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510331/Smonkey/products/SEDAS_OCB_GRIS_i3noao.png
Producto,Bioproyect,FLOWER BLOOM BIOPROYECT 350GR,564514563153,FERTILIZANTES,STOCKA,2400,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510333/Smonkey/products/bioproyect_flower_bloom_350_gr_tdlpn4.png
Producto,Bioproyect,BIOPROYECT FLOWER START 70GR,37447476364364,FERTILIZANTES,STOCKA,550.01,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510333/Smonkey/products/BIOPROYECT_FLOWER_START_umtvtt.png
Producto,Bioproyect,BIOPROYECT GREEN JUNGLE 70GR,,FERTILIZANTES,STOCKA,950,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510334/Smonkey/products/BIOPROYECT_GREEN_JUNGLE_70GR_qgokuv.png
Producto,Bioproyect,BIOPROYECT NUTRIENTES HIDRO PACK 1.2.3.4 150 ML,,FERTILIZANTES,STOCKA,1800,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510334/Smonkey/products/BIOPROYECT_NUTRIENTES_HIDRO_PACK_1.2.3.4_150_ML_kqq1v7.png
Producto,Bioproyect,BIOPROYECT SWEET CARBO 50GR,,FERTILIZANTES,STOCKA,500,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510334/Smonkey/products/BIOPROYECT_SWEET_CARBON_jyc79n.png
Producto,Pot,POT ARAÑA 200ML,,BIOESTIMULANTE,STOCKA,2890,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510328/Smonkey/products/POT_ARA%C3%91A_iihlme.png
Producto,Pot,POT FLORA 500ML,,BIOESTIMULANTE,STOCKA,1700,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510327/Smonkey/products/POT_FLORA_pklenq.png
Producto,Brew,MACA BREW BIOESTIMULANTE 500CC,,BIOESTIMULANTE,STOCKA,800,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510342/Smonkey/products/MACA_BREW_BIOESTIMULANTE_500CC_bstnbt.png
Producto,Pot,POT SUGAR BIO 500ML,,FERTILIZANTES,STOCKA,1800,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510330/Smonkey/products/POT_VEGE_BIO_500ML_l1jmcy.png
Producto,Pot,POT SUGAR ORG 500ML,7798376340341,FERTILIZANTES,STOCKA,1200.01,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510329/Smonkey/products/POT_SUGAR_ORG_500ML_n5ppda.png
Producto,Pot,POT VEGE BIO 500ML,DOF-7798376340037,FERTILIZANTES,STOCKA,1600,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510329/Smonkey/products/POT_SUGAR_BIO_500_ML_c7nsdt.png
Producto,Zurich,ESTACION HTC-1,8856125315215,HERRAMIENTAS,STOCKA,1650,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510337/Smonkey/products/ESTACION_HTC_-1_u6flsw.png
Producto,Feeding,FEEDING BOOSTER 125G,,FERTILIZANTES,STOCKA,6700,https://res.cloudinary.com/dh9c97uci/image/upload/v1673510337/Smonkey/products/FEEDING_BOOSTER_125G_nebwph.png
Producto,Filtro,FILTRO DE AGUA,,HERRAMIENTAS,"-5 ETAPAS DE FILTRADO

1º FELPA DE ALGODON (QUITA LOS PRIMEROS CEDIMENTOS)

2º PIEDRAS DE ZEOLITA (DESINTOXICACION ORGANICA)

3º PIEDRAS DE (ELIMINACION DEL CLORO)

4º CARBON ACTIVO DE COCO (ELIMINA SABOR Y OLOR)

5º FELPA DE ALGODON (VUELVE A FILTRAR ALGUN CEDIMENTO Q HAYA QUEDADO)",650,
Producto,Filtro,FILTRO DE AGUA IMAN,65446574897465489,HERRAMIENTAS,STOCKA,920,
Producto,Garden,GARDEN POLEA XL 68K,5756415465465,HERRAMIENTAS,1.5MT,6500,
Producto,Grotek,GROTEK BLOSSOM BLASTER PRO 500ML,5744165756716,FERTILIZANTES,FLORACION,9000,
Producto,Grotek,SOLO TEK BLOOM 250ML,,FERTILIZANTES,STOCKA,4000.01,
Producto,Grotek,SOLO TEK GROW GROTEK 250ML,,FERTILIZANTES,1 EN USO CULTIVO 1 FALTANTE,4000,
Producto,Grotek,VITAMAX PRO GROTEK 500ML,,FERTILIZANTES,1 EN USO CULTIVON GROW,9000,
Producto,Grotek,GROTEK MONSTER BLOOM 500GR,654165146541,FERTILIZANTES,STOCKA,15600,
Producto,Grotek,GROTEK MONSTER BLOOM 20GR,,FERTILIZANTES,STOCKA,1500,
Producto,Grotek,MONSTER BLOOM  GROTEK 130GR,,FERTILIZANTES,STOCKA,4900,
